Sample	Date	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c26	c27
COG_01	20100303	0	0.08	0.06	4.1	7.65	9.77	0.43	0	0	0	5.11	26.89	15.69	0	10.07	16.91	15.45	1.08	0.09	7.06	8.14	12.43	8.98	0	0
COGITO_mtgs_1003	20100330	0	0	0	7.67	14.46	17.28	0.32	0	0	0.01	10.02	40.39	28.51	0	0	0	0	0	0	0.62	0	0	0	0	0
COG_02	20100408	0	0	0	5.05	10.02	12.09	0.45	0	0	0.11	29.6	87.92	80.29	0.04	0	0	0	0	0	1.86	0	0	0	0	0
COGITO_mtgs_1004	20100413	0	0.16	0	19.94	43.23	41.42	0	0	0	0	9.08	23.48	24.25	0	0	0	0	0	0	0.7	0	0	0	0	0
COGITO_mtgs_1004_3	20100420	0	1.06	0	42.15	92.78	86.87	0	0	0	0	12.94	32.35	34.25	0	0	0	0	0	0	1.76	0	0	0	0	0
COGITO_mtgs_1004_4	20100423	0	1.65	0	35.92	77.6	73.95	0	0	0	0	19.61	43.48	50.99	0.01	0	0	0	0	0	1.12	0	0	0	0	0
COGITO_mtgs_1004_2	20100430	0	2.73	0	24.28	52.95	49.91	0.03	0	0.55	0	16.81	38.7	44.08	0.04	0	0	0	0	0	2.03	0	0	0	0	0
COG_03	20100504	0	6.13	0	11.04	25.53	23.04	0.75	0.03	16.28	4.36	29.81	67.73	81.64	1.5	0	1.81	1.06	0	0	33.83	0	0.01	0.02	0.05	1.78
COGITO_mtgs_1005	20100511	0	0.54	0	4.74	11.08	9.86	0	0	27.72	86.64	29.85	52.57	77.15	3.82	0	5.93	3.65	0	0	31.71	0.04	0	0.02	0.24	3.31
COG_04	20100518	0	0.08	0	1.63	3.98	3.66	0.05	0	24.83	1.49	32.14	68.95	86.95	9.26	0	7.63	4.55	0	0	58.71	0.22	0.05	0.1	21.29	64.54
COGITO_mtgs_1103	20110321	0	0	0	0.41	0.83	0.82	0	0	0	0	3	14.12	9.03	0	0	4.48	5.85	0.27	0.01	8.08	2.41	1.28	0.67	0	0
