Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
14885	o__Clostridiales (UID1212)	172	263	149	88	169	6	0	0	0	66.95	2.26	66.67
8767	k__Bacteria (UID2982)	88	230	148	7	222	1	0	0	0	95.27	0.68	0.00
8768	k__Bacteria (UID2982)	88	230	148	7	222	1	0	0	0	95.27	0.68	0.00
8769	k__Bacteria (UID2982)	88	230	148	7	222	1	0	0	0	95.27	0.68	0.00
8770	k__Bacteria (UID2982)	88	230	148	7	222	1	0	0	0	95.27	0.68	0.00
8771	k__Bacteria (UID2982)	88	230	148	9	220	1	0	0	0	93.92	0.34	0.00
8772	k__Bacteria (UID2982)	88	230	148	9	216	5	0	0	0	94.26	3.04	0.00
8773	k__Bacteria (UID2982)	88	230	148	10	219	1	0	0	0	93.24	0.23	0.00
8774	k__Bacteria (UID2982)	88	230	148	8	221	1	0	0	0	94.59	0.68	0.00
8775	k__Bacteria (UID2982)	88	230	148	9	220	1	0	0	0	94.43	0.68	0.00
8776	k__Bacteria (UID2982)	88	230	148	9	219	2	0	0	0	93.92	1.01	0.00
8777	k__Bacteria (UID2982)	88	230	148	82	141	7	0	0	0	61.50	3.46	28.57
8778	k__Bacteria (UID2982)	88	230	148	8	221	1	0	0	0	94.59	0.68	0.00
8779	k__Bacteria (UID2982)	88	230	148	8	220	2	0	0	0	94.59	1.35	0.00
8780	k__Bacteria (UID2982)	88	230	148	7	220	3	0	0	0	95.27	1.69	0.00
8781	k__Bacteria (UID2982)	88	230	148	76	148	6	0	0	0	63.52	3.18	0.00
9209	k__Bacteria (UID2982)	88	230	148	11	217	2	0	0	0	93.89	1.35	0.00
9210	k__Bacteria (UID2982)	88	230	148	12	215	3	0	0	0	93.21	2.03	0.00
9213	k__Bacteria (UID2982)	88	230	148	17	209	4	0	0	0	91.93	2.36	50.00
9215	k__Bacteria (UID2982)	88	230	148	31	198	1	0	0	0	92.58	0.68	0.00
9221	k__Bacteria (UID203)	5449	104	58	70	34	0	0	0	0	50.00	0.00	0.00
9222	k__Bacteria (UID2982)	88	229	147	3	224	2	0	0	0	97.96	1.36	0.00
9223	k__Bacteria (UID2982)	88	229	147	3	226	0	0	0	0	97.96	0.00	0.00
9224	k__Bacteria (UID2982)	88	229	147	3	226	0	0	0	0	97.96	0.00	0.00
9225	k__Bacteria (UID2982)	88	229	147	4	225	0	0	0	0	97.28	0.00	0.00
9226	k__Bacteria (UID2982)	88	229	147	3	226	0	0	0	0	97.96	0.00	0.00
9227	k__Bacteria (UID2982)	88	229	147	3	226	0	0	0	0	97.96	0.00	0.00
9228	k__Bacteria (UID2982)	88	229	147	3	226	0	0	0	0	97.96	0.00	0.00
Akkermansia_muciniphila_strain_YL44	k__Bacteria (UID2982)	88	229	147	3	226	0	0	0	0	97.96	0.00	0.00
Blastopirellula_marina_DSM_3645	k__Bacteria (UID2565)	2921	143	87	2	139	2	0	0	0	98.78	1.34	0.00
